[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.005143s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.005257s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.019029s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019164s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001458s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001725s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000983s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.001253s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005663s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.001210s ]
[ 2016-08-21T23:44:34+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001293s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.001698s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.001829s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001444s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001539s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --START--
